,invert_abun,soil_organic_content,shade,researcher,day,field_collected,lumbricids
229,33.18,2.88,Yes,Ben,Sat,Control,2
230,36.015,2,No,Ben,Sat,Control,4
231,23.535,3,No,Ben,Sat,Control,3
234,23.295,3,No,Ben,Sat,Control,2
236,18.9,1,No,Ben,Sat,Control,2
237,49.245,1.17,No,Ben,Sat,Control,2
240,40.77,2,Yes,Ben,Sat,Control,2
241,34.005,2,No,Ben,Sat,Control,2
0,16.99,1.01,Yes,Bill,Sun,Control,2
1,10.34,1.66,No,Bill,Sun,Control,3
2,21.01,3.5,No,Bill,Sun,Control,3
3,23.68,3.31,No,Bill,Sun,Control,2
4,24.59,3.61,Yes,Bill,Sun,Control,4
5,25.29,4.71,No,Bill,Sun,Control,4
6,8.77,2,No,Bill,Sun,Control,2
7,26.88,3.12,No,Bill,Sun,Control,4
8,15.04,1.96,No,Bill,Sun,Control,2
9,14.78,3.23,No,Bill,Sun,Control,2
10,10.27,1.71,No,Bill,Sun,Control,2
11,35.26,5,Yes,Bill,Sun,Control,4
12,15.42,1.57,No,Bill,Sun,Control,2
13,18.43,3,No,Bill,Sun,Control,4
14,14.83,3.02,Yes,Bill,Sun,Control,2
15,21.58,3.92,No,Bill,Sun,Control,2
16,10.33,1.67,Yes,Bill,Sun,Control,3
17,16.29,3.71,No,Bill,Sun,Control,3
18,16.97,3.5,Yes,Bill,Sun,Control,3
19,20.65,3.35,No,Bill,Sat,Control,3
20,17.92,4.08,No,Bill,Sat,Control,2
21,20.29,2.75,Yes,Bill,Sat,Control,2
22,15.77,2.23,Yes,Bill,Sat,Control,2
23,39.42,7.58,No,Bill,Sat,Control,4
24,19.82,3.18,No,Bill,Sat,Control,2
25,17.81,2.34,No,Bill,Sat,Control,4
26,13.37,2,No,Bill,Sat,Control,2
27,12.69,2,No,Bill,Sat,Control,2
28,21.7,4.3,No,Bill,Sat,Control,2
29,19.65,3,Yes,Bill,Sat,Control,2
30,9.55,1.45,No,Bill,Sat,Control,2
31,18.35,2.5,No,Bill,Sat,Control,4
32,15.06,3,Yes,Bill,Sat,Control,2
33,20.69,2.45,Yes,Bill,Sat,Control,4
34,17.78,3.27,No,Bill,Sat,Control,2
35,24.06,3.6,No,Bill,Sat,Control,3
36,16.31,2,No,Bill,Sat,Control,3
37,16.93,3.07,Yes,Bill,Sat,Control,3
38,18.69,2.31,No,Bill,Sat,Control,3
39,31.27,5,No,Bill,Sat,Control,3
40,16.04,2.24,No,Bill,Sat,Control,3
41,17.46,2.54,No,Bill,Sun,Control,2
42,13.94,3.06,No,Bill,Sun,Control,2
43,9.68,1.32,No,Bill,Sun,Control,2
44,30.4,5.6,No,Bill,Sun,Control,4
45,18.29,3,No,Bill,Sun,Control,2
46,22.23,5,No,Bill,Sun,Control,2
47,32.4,6,No,Bill,Sun,Control,4
48,28.55,2.05,No,Bill,Sun,Control,3
49,18.04,3,No,Bill,Sun,Control,2
50,12.54,2.5,No,Bill,Sun,Control,2
51,10.29,2.6,Yes,Bill,Sun,Control,2
52,34.81,5.2,Yes,Bill,Sun,Control,4
53,9.94,1.56,No,Bill,Sun,Control,2
54,25.56,4.34,No,Bill,Sun,Control,4
55,19.49,3.51,No,Bill,Sun,Control,2
57,26.41,1.5,Yes,Bill,Sat,Control,2
59,48.27,6.73,No,Bill,Sat,Control,4
64,17.59,2.64,No,Bill,Sat,Control,3
65,20.08,3.15,No,Bill,Sat,Control,3
66,16.45,2.47,Yes,Bill,Sat,Control,2
68,20.23,2.01,No,Bill,Sat,Control,2
70,12.02,1.97,No,Bill,Sat,Control,2
71,17.07,3,Yes,Bill,Sat,Control,3
74,14.73,2.2,Yes,Bill,Sat,Control,2
75,10.51,1.25,No,Bill,Sat,Control,2
77,27.2,4,No,Bill,Thur,Exposed,4
78,22.76,3,No,Bill,Thur,Exposed,2
79,17.29,2.71,No,Bill,Thur,Exposed,2
81,16.66,3.4,No,Bill,Thur,Exposed,2
82,10.07,1.83,Yes,Bill,Thur,Exposed,1
84,15.98,2.03,No,Bill,Thur,Exposed,2
85,34.83,5.17,Yes,Bill,Thur,Exposed,4
86,13.03,2,No,Bill,Thur,Exposed,2
87,18.28,4,No,Bill,Thur,Exposed,2
88,24.71,5.85,No,Bill,Thur,Exposed,2
89,21.16,3,No,Bill,Thur,Exposed,2
91,22.49,3.5,No,Bill,Fri,Control,2
94,22.75,3.25,Yes,Bill,Fri,Control,2
99,12.46,1.5,No,Bill,Fri,Control,2
104,20.92,4.08,Yes,Bill,Sat,Control,2
108,18.24,3.76,No,Bill,Sat,Control,2
110,14,3,No,Bill,Sat,Control,2
111,7.25,1,Yes,Bill,Sat,Control,1
112,38.07,4,No,Bill,Sun,Control,3
113,23.95,2.55,No,Bill,Sun,Control,2
114,25.71,4,Yes,Bill,Sun,Control,3
115,17.31,3.5,Yes,Bill,Sun,Control,2
116,29.93,5.07,No,Bill,Sun,Control,4
117,10.65,1.5,Yes,Bill,Thur,Exposed,2
118,12.43,1.8,Yes,Bill,Thur,Exposed,2
119,24.08,2.92,Yes,Bill,Thur,Exposed,4
120,11.69,2.31,No,Bill,Thur,Exposed,2
121,13.42,1.68,Yes,Bill,Thur,Exposed,2
122,14.26,2.5,No,Bill,Thur,Exposed,2
123,15.95,2,No,Bill,Thur,Exposed,2
124,12.48,2.52,Yes,Bill,Thur,Exposed,2
125,29.8,4.2,Yes,Bill,Thur,Exposed,6
126,8.52,1.48,No,Bill,Thur,Exposed,2
127,14.52,2,Yes,Bill,Thur,Exposed,2
128,11.38,2,Yes,Bill,Thur,Exposed,2
129,22.82,2.18,No,Bill,Thur,Exposed,3
130,19.08,1.5,No,Bill,Thur,Exposed,2
131,20.27,2.83,Yes,Bill,Thur,Exposed,2
132,11.17,1.5,Yes,Bill,Thur,Exposed,2
133,12.26,2,Yes,Bill,Thur,Exposed,2
134,18.26,3.25,Yes,Bill,Thur,Exposed,2
135,8.51,1.25,Yes,Bill,Thur,Exposed,2
136,10.33,2,Yes,Bill,Thur,Exposed,2
137,14.15,2,Yes,Bill,Thur,Exposed,2
139,13.16,2.75,Yes,Bill,Thur,Exposed,2
140,17.47,3.5,Yes,Bill,Thur,Exposed,2
141,34.3,6.7,No,Bill,Thur,Exposed,6
142,41.19,5,No,Bill,Thur,Exposed,5
143,27.05,5,Yes,Bill,Thur,Exposed,6
144,16.43,2.3,Yes,Bill,Thur,Exposed,2
145,8.35,1.5,Yes,Bill,Thur,Exposed,2
146,18.64,1.36,Yes,Bill,Thur,Exposed,3
147,11.87,1.63,Yes,Bill,Thur,Exposed,2
148,9.78,1.73,No,Bill,Thur,Exposed,2
149,7.51,2,No,Bill,Thur,Exposed,2
150,14.07,2.5,No,Bill,Sun,Control,2
151,13.13,2,No,Bill,Sun,Control,2
152,17.26,2.74,No,Bill,Sun,Control,3
153,24.55,2,No,Bill,Sun,Control,4
154,19.77,2,No,Bill,Sun,Control,4
155,29.85,5.14,Yes,Bill,Sun,Control,5
156,48.17,5,No,Bill,Sun,Control,6
157,25,3.75,Yes,Bill,Sun,Control,4
158,13.39,2.61,Yes,Bill,Sun,Control,2
159,16.49,2,No,Bill,Sun,Control,4
160,21.5,3.5,No,Bill,Sun,Control,4
161,12.66,2.5,No,Bill,Sun,Control,2
162,16.21,2,Yes,Bill,Sun,Control,3
163,13.81,2,No,Bill,Sun,Control,2
165,24.52,3.48,No,Bill,Sun,Control,3
166,20.76,2.24,No,Bill,Sun,Control,2
167,31.71,4.5,No,Bill,Sun,Control,4
185,20.69,5,No,Bill,Sun,Control,5
195,7.56,1.44,No,Bill,Thur,Exposed,2
212,48.33,9,No,Bill,Sat,Control,4
223,15.98,3,Yes,Bill,Fri,Exposed,3
227,20.45,3,No,Bill,Sat,Control,4
228,13.28,2.72,No,Bill,Sat,Control,2
232,11.61,3.39,No,Bill,Sat,Control,2
233,10.77,1.47,No,Bill,Sat,Control,2
235,10.07,1.25,No,Bill,Sat,Control,2
238,35.83,4.67,Yes,Bill,Sat,Control,3
239,29.03,5.92,No,Bill,Sat,Control,3
242,17.82,1.75,No,Bill,Sat,Control,2
243,18.78,3,Yes,Bill,Thur,Control,2
